Pid,Task,Self,Other,Order
1,Thrill,100,100,Self First
2,WTP,30,37.5,Self First
3,Thrill,90,95,Other First
4,Thill,90,91,Other First
5,Thrill,80,30,Self First
6,WTP,25,20,Other First
7,Thrill,99,100,Self First
8,Thrill,95,98,Self First
9,Thrill,92,92,Other First
10,WTP,25,17.5,Other First
11,WTP,62.5,50,Self First
12,WTP,30,25,Self First
13,WTP,50,12.5,Self First
14,Thill,85,98,Self First
15,Thrill,100,100,Other First
16,WTP,90,90,Other First
17,Thrill,91,96,Other First
18,Thrill,91,81,Self First
19,WTP,50,50,Other First
20,Thrill,10,10,Self First
21,WTP,25,15,Other First
22,WTP,25,30,Other First
23,Thrill,76,100,Self First
24,WTP,50,50,Other First
25,WTP,25,12.5,Other First
26,WTP,25,25,Other First
27,WTP,25,20,Self First
28,Thrill,100,100,Other First
29,WTP,25,25,Self First
30,Thrill,50,37,Self First
31,Thrill,50,50,Self First
32,WTP,37.5,50,Self First
33,WTP,30,25,Self First
34,Thrill,61,63,Other First
35,Thrill,81,90,Other First
36,Thrill,100,72,Self First
37,WTP,15,11.25,Other First
38,WTP,20,12.5,Other First
39,Thrill,79,99,Other First
40,Thrill,73,54,Other First
41,Thrill,70,55,Self First
42,Thrill,99,91,Self First
43,WTP,32.5,32.5,Self First
44,Thrill,99,100,Other First
45,WTP,30,17.5,Other First
46,WTP,12.5,0,Other First
47,Thrill,100,90,Other First
48,Thrill,92,100,Other First
49,Thrill,100,100,Self First
50,WTP,50,25,Other First
51,Thrill,84,82,Other First
52,WTP,25,25,Other First
53,WTP,30,30,Self First
54,Thrill,100,100,Self First
55,WTP,25,25,Other First
56,Thrill,99,100,Self First
57,Thrill,72,34,Self First
58,WTP,17.5,15,Other First
59,Thrill,81,1,Self First
60,WTP,25,30,Other First
61,WTP,15,15,Self First
62,Thrill,93,83,Self First
63,WTP,25,12.5,Other First
64,WTP,25,20,Self First
65,WTP,25,30,Other First
66,Thrill,100,100,Self First
67,WTP,50,37.5,Self First
68,WTP,37.5,25,Other First
69,Thrill,70,100,Self First
70,Thrill,69,68,Other First
71,Thrill,80,89,Other First
72,WTP,22.5,50,Other First
73,WTP,17.5,20,Self First
74,WTP,30,30,Self First
75,Thrill,67,68,Self First
76,Thrill,75,91,Other First
77,WTP,37.5,37.5,Other First
78,WTP,75,37.5,Other First
79,Thrill,75,65,Self First
80,Thrill,99,75,Other First
81,Thrill,81,82,Other First
82,Thrill,83,100,Other First
83,WTP,20,25,Other First
84,Thrill,76,88,Other First
85,WTP,30,30,Self First
86,WTP,30,12.5,Self First
87,Thrill,74,2,Self First
88,Thrill,86,100,Other First
89,WTP,75,50,Self First
90,WTP,50,37.5,Self First
91,WTP,17.5,20,Other First
92,WTP,25,12.5,Other First
93,WTP,50,50,Other First
94,Thrill,80,80,Self First
95,WTP,20,12.5,Self First
96,WTP,30,37.5,Other First
97,Thrill,83,83,Other First
98,WTP,30,7.5,Other First
99,WTP,30,25,Self First
100,WTP,15,25,Self First
101,WTP,7.5,7.5,Other First
102,WTP,50,50,Other First
103,Thrill,73,83,Self First
104,WTP,20,25,Self First
105,WTP,50,50,Other First
106,Thrill,70,80,Other First
107,WTP,50,0,Self First
108,WTP,37.5,20,Self First
109,Thrill,90,100,Other First
110,Thrill,100,100,Other First
111,WTP,7.5,7.5,Other First
112,WTP,87.5,70,Other First
113,Thrill,71,82,Self First
114,WTP,50,62.5,Other First
115,Thrill,50,25,Self First
116,Thrill,95,100,Self First
117,Thrill,64,59,Other First
118,Thrill,80,60,Self First
119,Thrill,81,81,Other First
120,Thrill,100,100,Other First
121,Thrill,80,81,Other First
122,Thill,76,83,Other First
123,Thrill,100,8,Other First
124,Thrill,93,94,Other First
125,Thrill,100,100,Other First
126,Thrill,79,69,Self First
127,WTP,25,25,Other First
128,Thrill,92,97,Self First
129,WTP,25,12.5,Other First
130,Thrill,71,9,Self First
131,WTP,25,25,Self First
132,WTP,25,30,Other First
133,Thrill,93,87,Self First
134,WTP,22.5,17.5,Self First
135,Thrill,92,95,Other First
136,Thrill,92,100,Other First
137,Thrill,90,93,Self First
138,WTP,17.5,17.5,Other First
139,WTP,50,37.5,Other First
140,WTP,12.5,25,Self First
141,Thrill,71,98,Self First
142,Thrill,71,74,Self First
143,WTP,30,20,Self First
144,WTP,22.5,20,Other First
145,Thrill,100,100,Other First
146,WTP,50,50,Other First
147,WTP,55,27.5,Other First
148,Thrill,71,80,Other First
149,Thrill,81,83,Other First
150,WTP,37.5,20,Other First
151,Thrill,85,95,Other First
152,WTP,22.5,17.5,Self First
153,WTP,22.5,17.5,Self First
154,WTP,10,7.5,Other First
155,Thrill,90,71,Self First
156,Thrill,53,1,Self First
157,WTP,50,50,Self First
158,WTP,25,12.5,Self First
159,Thrill,85,83,Other First
160,WTP,20,20,Self First
161,Thrill,100,100,Self First
162,Thrill,73,75,Self First
163,Thrill,94,95,Self First
164,WTP,12.5,12.5,Self First
165,WTP,25,12.5,Other First
166,WTP,5,5,Other First
167,WTP,45,50,Self First
168,WTP,50,37.5,Self First
169,WTP,37.5,30,Other First
170,Thrill,81,71,Self First
171,Thrill,76,71,Self First
172,WTP,62.5,0,Other First
173,WTP,30,30,Other First
174,WTP,37.5,30,Other First
175,WTP,30,30,Other First
176,WTP,12.5,15,Other First
177,Thrill,74,71,Self First
178,WTP,5,7.5,Self First
179,WTP,2.5,0,Self First
180,Thrill,85,83,Self First
181,WTP,62.5,12.5,Other First
182,WTP,37.5,25,Other First
183,WTP,90,60,Other First
184,Thrill,80,71,Other First
185,WTP,62.5,50,Self First
186,Thrill,82,79,Self First
187,Thrill,100,100,Other First
188,Thrill,89,97,Other First
189,WTP,50,20,Other First
190,Thill,86,72,Self First
191,Thrill,99,100,Other First
192,WTP,30,25,Self First
193,Thrill,62,100,Other First
194,Thrill,5,10,Other First
195,Thrill,60,54,Self First
196,Thrill,62,22,Self First
197,WTP,50,37.5,Self First
198,WTP,37.5,45,Other First
199,Thrill,80,29,Other First
200,WTP,57.5,57.5,Other First
201,Thrill,80,80,Other First
202,WTP,37.5,30,Other First
203,WTP,25,37.5,Other First
204,Thrill,100,100,Self First
205,Thrill,91,67,Self First
206,WTP,37.5,50,Self First
207,Thrill,100,100,Self First
208,WTP,25,25,Self First
209,Thrill,100,100,Other First
210,Thrill,61,91,Other First
211,WTP,37.5,37.5,Other First
212,Thrill,93,91,Self First
213,WTP,37.5,17.5,Self First
214,WTP,50,62.5,Other First
215,Thrill,65,62,Self First
216,WTP,37.5,40,Other First
217,Thrill,61,79,Other First
218,Thrill,70,1,Self First
219,Thrill,89,90,Self First
220,Thrill,100,100,Self First
221,WTP,30,17.5,Other First
222,Thrill,51,13,Other First
223,WTP,12.5,10,Other First
224,Thrill,100,86,Other First
225,Thrill,100,100,Other First
226,Thrill,100,100,Self First
227,WTP,32.5,25,Self First
228,Thrill,76,50,Self First
229,Thrill,99,100,Self First
230,Thrill,99,99,Self First
231,Thrill,75,90,Other First
232,Thrill,85,100,Other First
233,WTP,25,25,Self First
234,WTP,25,12.5,Self First
235,Thrill,100,80,Self First
236,Thrill,100,100,Other First
237,WTP,37.5,12.5,Self First
238,Thrill,72,47,Other First
239,Thrill,91,98,Other First
240,Thrill,66,59,Self First
241,Thrill,76,80,Other First
242,Thrill,67,74,Self First
243,WTP,37.5,37.5,Self First
244,Thrill,49,52,Self First
245,Thrill,99,100,Other First
246,Thill,82,100,Other First
247,WTP,20,5,Other First
248,WTP,62.5,60,Self First
249,Thrill,70,100,Other First
250,Thrill,80,100,Self First
